"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.538461990E-1,-8.562573791E-2,4.153108597E-2,2.178602219E-1,2.377386682E-1
4.588771880E-1,9.407678246E-2,-1.002736092E-1,1.311764717E-1,1.900329035E-1
4.639081780E-1,1.983058155E-1,-1.892070770E-1,1.414594650E-1,3.084400990E-1
4.689391670E-1,3.138178885E-1,-2.311930656E-1,1.535978317E-1,4.189560772E-1
4.739710420E-1,5.353944302E-1,-3.596172333E-1,5.443859100E-2,6.472521228E-1
4.790020840E-1,7.101938128E-1,-4.881114960E-1,5.862712860E-3,8.617786582E-1
4.840331260E-1,7.623635530E-1,-5.361442566E-1,-6.384897232E-2,9.341978068E-1
4.890641670E-1,6.786392927E-1,-5.091824532E-1,7.720661163E-2,8.519265937E-1
4.940276570E-1,5.825765133E-1,-4.268856049E-1,6.677055359E-2,7.253171860E-1
4.990553130E-1,4.604216516E-1,-2.989473343E-1,2.914381027E-2,5.497335424E-1
5.040829690E-1,3.587482572E-1,-1.586680412E-1,-1.208925247E-2,3.924563789E-1
5.091463550E-1,3.003942370E-1,-2.488708496E-2,3.122363091E-1,4.339902964E-1
5.141764590E-1,3.406527638E-1,1.498179436E-1,5.814933777E-1,6.903798013E-1
5.191872920E-1,3.361575305E-1,1.849517822E-1,4.316930771E-1,5.775534260E-1
5.242154690E-1,3.495638669E-1,7.707023621E-2,1.754107475E-1,3.986272051E-1
5.292436460E-1,1.642503291E-1,7.597923279E-3,4.123640060E-2,1.695179630E-1
5.342718240E-1,3.663652241E-1,-1.472773552E-1,-1.566758156E-1,4.248074952E-1
5.393508860E-1,3.363939524E-1,-2.112817764E-1,-2.803769112E-1,4.862222666E-1
5.443816150E-1,1.658465266E-1,-1.472902298E-1,-3.071279526E-1,3.788496555E-1
5.494123440E-1,3.074599802E-2,-7.467556000E-2,-2.621159554E-1,2.742745517E-1
5.544430740E-1,-1.345770061E-2,2.554225922E-2,-2.646846771E-1,2.662545681E-1
5.594461460E-1,3.655669093E-2,6.783533096E-2,-4.235086441E-1,4.304620720E-1
5.644755210E-1,1.044053212E-1,1.242351532E-1,-6.142339706E-1,6.353095427E-1
5.694932300E-1,1.144475043E-1,1.427168846E-1,-6.756916046E-1,7.000182033E-1
5.745214590E-1,3.485196829E-2,2.140431404E-1,-6.047244072E-1,6.424334474E-1
5.795496880E-1,1.082840711E-1,2.050466537E-1,-5.639743805E-1,6.097841193E-1
5.845779170E-1,3.286578059E-1,1.404008865E-1,-6.719660759E-1,7.610957689E-1
5.896461990E-1,6.049478054E-1,-1.877884865E-1,-7.711548805E-1,9.979510072E-1
5.946764590E-1,3.329372108E-1,1.546764374E-2,-4.494004250E-1,5.595061897E-1
5.996819280E-1,1.947718561E-1,2.948875427E-1,-6.028752327E-1,6.988227851E-1
6.047096880E-1,2.940531075E-1,4.838147163E-1,-1.065995693E0,1.207017286E0
6.097355740E-1,1.225675344E-1,6.828718185E-1,-1.399517536E0,1.562045472E0
6.147631780E-1,8.686983585E-2,7.734618187E-1,-1.324685097E0,1.536417964E0
6.197907820E-1,3.848546445E-1,7.706804276E-1,-1.400202751E0,1.643967507E0
6.248272920E-1,4.209015667E-1,7.705640793E-1,-1.563317299E0,1.793010905E0
6.298554690E-1,7.207340002E-1,5.932574272E-1,-1.889702320E0,2.107697021E0
6.348836460E-1,7.808150053E-1,4.593186378E-1,-2.036743164E0,2.229118301E0
6.399437510E-1,7.510690689E-1,3.548784256E-1,-1.968667030E0,2.136748305E0
6.449740630E-1,6.260811090E-1,3.838510513E-1,-1.378252983E0,1.561697945E0
6.500043760E-1,6.049935818E-1,5.260658264E-1,-1.043527126E0,1.315945041E0
6.550346880E-1,7.045754194E-1,6.142339706E-1,-7.436132431E-1,1.194433149E0
6.600060420E-1,9.655090570E-1,6.669192314E-1,-6.528058052E-1,1.342812131E0
6.650333860E-1,1.099197626E0,6.803812981E-1,-4.562568665E-1,1.370884554E0
6.700607300E-1,1.324516058E0,5.256052017E-1,-3.814158440E-1,1.475154793E0
6.750880740E-1,1.455390811E0,4.030981064E-1,-4.206180573E-2,1.510767915E0
6.801154170E-1,1.686059952E0,2.457442284E-1,3.938031197E-1,1.748790806E0
6.851597400E-1,2.209740877E0,5.855417252E-2,1.606431007E-1,2.216345989E0
6.901877610E-1,2.763732910E0,-5.413246155E-2,5.390167236E-3,2.764268253E0
